15min_bin,glucose
2019-08-06 09:45:00,5.5
2019-08-06 10:00:00,5.6
2019-08-06 10:15:00,5.5
2019-08-06 10:30:00,5.2
2019-08-06 10:45:00,5.3
2019-08-06 11:00:00,5.9
2019-08-06 11:15:00,5.9
2019-08-06 11:30:00,6.0
2019-08-06 11:45:00,5.9
2019-08-06 12:00:00,5.7
2019-08-06 12:15:00,6.0
2019-08-06 12:30:00,6.2
2019-08-06 12:45:00,5.7
2019-08-06 13:00:00,5.5
2019-08-06 13:15:00,5.7
2019-08-06 13:30:00,5.8
2019-08-06 13:45:00,5.6
2019-08-06 14:00:00,5.4
2019-08-06 14:15:00,5.7
2019-08-06 14:30:00,6.8
2019-08-06 14:45:00,8.6
2019-08-06 15:00:00,9.8
2019-08-06 15:15:00,9.7
2019-08-06 15:30:00,
2019-08-06 15:45:00,7.95
2019-08-06 16:00:00,
2019-08-06 16:15:00,
2019-08-06 16:30:00,
2019-08-06 16:45:00,
2019-08-06 17:00:00,
2019-08-06 17:15:00,
2019-08-06 17:30:00,
2019-08-06 17:45:00,
2019-08-06 18:00:00,7.2
2019-08-06 18:15:00,7.1
2019-08-06 18:30:00,7.2
2019-08-06 18:45:00,7.2
2019-08-06 19:00:00,7.1
2019-08-06 19:15:00,6.9
2019-08-06 19:30:00,7.1
2019-08-06 19:45:00,7.4
2019-08-06 20:00:00,6.6
2019-08-06 20:15:00,5.7
2019-08-06 20:30:00,5.7
2019-08-06 20:45:00,6.1
2019-08-06 21:00:00,6.4
2019-08-06 21:15:00,6.2
2019-08-06 21:30:00,6.1
2019-08-06 21:45:00,5.7
2019-08-06 22:00:00,5.3
2019-08-06 22:15:00,4.8
2019-08-06 22:30:00,4.6
2019-08-06 22:45:00,4.8
2019-08-06 23:00:00,5.1
2019-08-06 23:15:00,5.3
2019-08-06 23:30:00,5.3
2019-08-06 23:45:00,5.2
2019-08-07 00:00:00,5.2
2019-08-07 00:15:00,4.9
2019-08-07 00:30:00,4.6
2019-08-07 00:45:00,4.8
2019-08-07 01:00:00,5.3
2019-08-07 01:15:00,5.3
2019-08-07 01:30:00,5.5
2019-08-07 01:45:00,6.2
2019-08-07 02:00:00,6.199999999999999
2019-08-07 02:15:00,
2019-08-07 02:30:00,6.85
2019-08-07 02:45:00,6.8
2019-08-07 03:00:00,6.6
2019-08-07 03:15:00,6.3
2019-08-07 03:30:00,5.9
2019-08-07 03:45:00,5.8
2019-08-07 04:00:00,5.8
2019-08-07 04:15:00,5.7
2019-08-07 04:30:00,6.0
2019-08-07 04:45:00,6.5
2019-08-07 05:00:00,6.4
2019-08-07 05:15:00,6.1
2019-08-07 05:30:00,6.1
2019-08-07 05:45:00,6.2
2019-08-07 06:00:00,6.0
2019-08-07 06:15:00,5.95
2019-08-07 06:30:00,5.9
2019-08-07 06:45:00,5.8
2019-08-07 07:00:00,6.2
2019-08-07 07:15:00,7.2
2019-08-07 07:30:00,7.6
2019-08-07 07:45:00,6.6
2019-08-07 08:00:00,5.7
2019-08-07 08:15:00,5.7
2019-08-07 08:30:00,5.9
2019-08-07 08:45:00,6.2
2019-08-07 09:00:00,6.2
2019-08-07 09:15:00,6.0
2019-08-07 09:30:00,5.8
2019-08-07 09:45:00,5.5
2019-08-07 10:00:00,5.2
2019-08-07 10:15:00,5.3
2019-08-07 10:30:00,5.5
2019-08-07 10:45:00,5.6
2019-08-07 11:00:00,5.7
2019-08-07 11:15:00,5.8
2019-08-07 11:30:00,6.0
2019-08-07 11:45:00,5.800000000000001
2019-08-07 12:00:00,5.9
2019-08-07 12:15:00,6.6
2019-08-07 12:30:00,7.2
2019-08-07 12:45:00,6.8
2019-08-07 13:00:00,6.4
2019-08-07 13:15:00,6.6
2019-08-07 13:30:00,6.4
2019-08-07 13:45:00,5.6
2019-08-07 14:00:00,5.1
2019-08-07 14:15:00,5.3
2019-08-07 14:30:00,5.8
2019-08-07 14:45:00,5.7
2019-08-07 15:00:00,5.1
2019-08-07 15:15:00,5.1
2019-08-07 15:30:00,4.8
2019-08-07 15:45:00,5.1
2019-08-07 16:00:00,5.1
2019-08-07 16:15:00,5.1
2019-08-07 16:30:00,4.9
2019-08-07 16:45:00,4.9
2019-08-07 17:00:00,5.1
2019-08-07 17:15:00,5.0
2019-08-07 17:30:00,5.0
2019-08-07 17:45:00,5.0
2019-08-07 18:00:00,4.9
2019-08-07 18:15:00,5.0
2019-08-07 18:30:00,5.2
2019-08-07 18:45:00,5.2
2019-08-07 19:00:00,5.1
2019-08-07 19:15:00,5.1
2019-08-07 19:30:00,5.2
2019-08-07 19:45:00,5.2
2019-08-07 20:00:00,5.3
2019-08-07 20:15:00,5.6
2019-08-07 20:30:00,5.4
2019-08-07 20:45:00,5.2
2019-08-07 21:00:00,5.2
2019-08-07 21:15:00,5.3
2019-08-07 21:30:00,5.6
2019-08-07 21:45:00,5.7
2019-08-07 22:00:00,5.699999999999999
2019-08-07 22:15:00,6.1
2019-08-07 22:30:00,6.2
2019-08-07 22:45:00,6.3
2019-08-07 23:00:00,7.2
2019-08-07 23:15:00,7.6
2019-08-07 23:30:00,7.1
